Method,Time_seconds,Best_LML,Best_Iteration
RBF-BO,136.09979510307312,-1.5001586668724798,0
HyperKappa-BO,47.58356213569641,-1.5001586668724798,0
Random Search,58.431692600250244,-1.5001586668724798,0
LLM-GA_unrestricted_p0.05,244.6997447013855,-1.5001586668724798,0
LLM-GA_unrestricted_p0.1,260.05021834373474,-1.5001586668724798,0
LLM-GA_unrestricted_p0.3,238.46132922172546,-1.5001586668724798,0
LLM-GA_unrestricted_p0.5,309.426913022995,-1.5001586668724798,0
LLM-GA_unrestricted_p0.7,383.6170244216919,-1.5001586668724798,0
LLM-GA_unrestricted_p0.9,396.1825234889984,-1.5001586668724798,0
LLM-GA_depth3_p0.05,173.27356219291687,-1.5001586668724798,0
LLM-GA_depth3_p0.1,227.6436767578125,-1.5001586668724798,0
LLM-GA_depth3_p0.3,274.50707483291626,-1.5001586668724798,0
LLM-GA_depth3_p0.5,342.48932337760925,-1.5001586668724798,0
LLM-GA_depth3_p0.7,312.06172132492065,-1.5001586668724798,0
LLM-GA_depth3_p0.9,375.09680438041687,-1.5001586668724798,0
