Random Search - Run 2
================================================================================

[Random] iter=01 → idx=127, kernel=(PER * RQ), LML=-4946.319
[Random] iter=02 → idx=217, kernel=(SE + (PER + RQ)), LML=-4946.309
[Random] iter=03 → idx=139, kernel=(PER + (RQ + RQ)), LML=-4946.284
[Random] iter=04 → idx=215, kernel=(SE + (PER * SE)), LML=-4946.326
[Random] iter=05 → idx=184, kernel=(RQ + (SE * RQ)), LML=-4946.328
[Random] iter=06 → idx=25, kernel=((PER + RQ) * RQ), LML=-4946.348
[Random] iter=07 → idx=194, kernel=(SE * (PER * SE)), LML=-4946.341
[Random] iter=08 → idx=57, kernel=((RQ + PER) + PER), LML=-4946.306
[Random] iter=09 → idx=193, kernel=(SE * (PER * RQ)), LML=-4946.329
[Random] iter=10 → idx=69, kernel=((RQ + SE) + PER), LML=-4946.309
[Random] iter=11 → idx=175, kernel=(RQ + (PER + RQ)), LML=-4946.351
[Random] iter=12 → idx=121, kernel=(PER * (SE * RQ)), LML=-4946.329
[Random] iter=13 → idx=36, kernel=((RQ * PER) * PER), LML=-3204.610
[Random] iter=14 → idx=232, kernel=(SE + RQ), LML=-4946.344
[Random] iter=15 → idx=68, kernel=((RQ + SE) * SE), LML=-4946.332
[Random] iter=16 → idx=178, kernel=(RQ + (RQ * RQ)), LML=-4946.331
[Random] iter=17 → idx=120, kernel=(PER * (SE * PER)), LML=-4946.326
[Random] iter=18 → idx=129, kernel=(PER + (PER * PER)), LML=-1.500
[Random] iter=19 → idx=38, kernel=((RQ * PER) * SE), LML=-4946.329
[Random] iter=20 → idx=30, kernel=((PER + SE) * PER), LML=-4946.344
[Random] iter=21 → idx=203, kernel=(SE * (RQ + SE)), LML=-4946.333
[Random] iter=22 → idx=204, kernel=(SE * (SE * PER)), LML=-4946.341
[Random] iter=23 → idx=97, kernel=((SE + RQ) * RQ), LML=-4946.331
[Random] iter=24 → idx=221, kernel=(SE + (RQ * SE)), LML=-4946.336
[Random] iter=25 → idx=88, kernel=((SE * SE) + RQ), LML=-4946.333
[Random] iter=26 → idx=48, kernel=((RQ * SE) * PER), LML=-4946.329
[Random] iter=27 → idx=228, kernel=(SE + (SE + PER)), LML=-2421.619
[Random] iter=28 → idx=234, kernel=PER, LML=-1.500
[Random] iter=29 → idx=79, kernel=((SE * RQ) * RQ), LML=-4946.342
[Random] iter=30 → idx=24, kernel=((PER + RQ) * PER), LML=-4946.331
[Random] iter=31 → idx=156, kernel=(RQ * (RQ * PER)), LML=-4946.342
[Random] iter=32 → idx=208, kernel=(SE * (SE + RQ)), LML=-4946.332
[Random] iter=33 → idx=43, kernel=((RQ * RQ) * RQ), LML=-4946.340
[Random] iter=34 → idx=108, kernel=(PER * (PER * PER)), LML=-1.500
[Random] iter=35 → idx=90, kernel=((SE + PER) * PER), LML=-4946.329
[Random] iter=36 → idx=201, kernel=(SE * (RQ + PER)), LML=-4946.303
[Random] iter=37 → idx=117, kernel=(PER * (RQ + PER)), LML=-4946.328
[Random] iter=38 → idx=224, kernel=(SE + (RQ + SE)), LML=-4946.334
[Random] iter=39 → idx=107, kernel=((SE + SE) + SE), LML=-121.583
[Random] iter=40 → idx=191, kernel=(RQ + SE), LML=-4946.333
[Random] iter=41 → idx=106, kernel=((SE + SE) + RQ), LML=-4946.337
[Random] iter=42 → idx=80, kernel=((SE * RQ) * SE), LML=-4946.342
[Random] iter=43 → idx=162, kernel=(RQ * (SE * PER)), LML=-4946.329
[Random] iter=44 → idx=32, kernel=((PER + SE) * SE), LML=-4946.342
[Random] iter=45 → idx=33, kernel=((PER + SE) + PER), LML=-8.292
[Random] iter=46 → idx=62, kernel=((RQ + RQ) * SE), LML=-4946.342
[Random] iter=47 → idx=122, kernel=(PER * (SE * SE)), LML=-4946.345
[Random] iter=48 → idx=82, kernel=((SE * RQ) + RQ), LML=-4946.339
[Random] iter=49 → idx=37, kernel=((RQ * PER) * RQ), LML=-4946.342
[Random] iter=50 → idx=130, kernel=(PER + (PER * RQ)), LML=-2758.990
